"id","Model","est_beta0","est_beta1","est_beta2","Design","Exposure_Highest_Error","Covar","ErrorVar","Truth"
13,"X1",-0.0329650777096373,0.476448169958356,0.187861269769337,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
13,"X2",0.979135689022845,0.898893713714576,0.309369746134416,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
13,"X3",2.13470426163171,1.64975477740095,-0.184177380543505,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
13,"X4",2.90110990654025,2.16039753715831,0.331086060556326,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
13,"X5",3.86460039527497,2.49193877500272,0.498500019404419,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
14,"X1",0.0610992614910508,0.435009283529887,0.13863251434179,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
14,"X2",0.978312385005952,1.12609909813798,0.35647203887375,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
14,"X3",2.00824655026504,1.53184542271325,0.161120583217887,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
14,"X4",2.94812444472341,1.98604075848974,0.307349947793615,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
14,"X5",4.02356712698807,2.47844248690043,0.590924664124921,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
15,"X1",0.0212256852297926,0.463045426041258,0.107958143651023,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
15,"X2",0.972599717579005,1.01699209306641,0.261011599528039,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
15,"X3",1.94082614215461,1.57132912717129,0.197263491868144,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
15,"X4",3.04444551224239,2.06817238933112,0.295994193176751,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
15,"X5",3.87955757157238,2.70730540202389,0.644073565876214,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
16,"X1",0.0713466300059675,0.66334876267173,0.0128786296159611,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
