"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ErrorVar","Truth"
16,"X4",2.89864951435128,1.95074922375903,0.509751524999938,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
16,"X5",3.95462626390716,2.56310100323792,0.68805553639687,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
17,"X1",-0.0263606171167738,0.533154156952285,0.114621792374774,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
17,"X2",1.06047666524621,1.0121245508468,0.0734767433203546,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
17,"X3",1.96277174847738,1.47049932719327,0.421105046137608,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
17,"X4",3.08849020064336,2.09497057532314,0.20185809460147,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
17,"X5",4.13177935021996,2.50997395616058,0.268436330699381,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
18,"X1",-0.0288106300199481,0.501290171700182,0.120441860134519,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
18,"X2",1.11490655228351,1.04648454105724,-0.0835255143745252,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
18,"X3",1.930803214073,1.53503216334349,0.482283426373424,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
18,"X4",2.77057928716937,1.88200001680186,0.97114800718081,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
18,"X5",3.98110369462362,2.34873201671869,0.828245742642629,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
19,"X1",-0.0195952895847338,0.4931084737962,0.0499776075146895,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
19,"X2",1.03946353810501,1.02774036199571,0.064447186460721,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
19,"X3",1.99688515503484,1.55792865646069,0.270814816798926,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
19,"X4",2.94171385874038,1.99789286264088,0.706922541241813,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
19,"X5",3.96789720636944,2.57364666124894,0.551405034276744,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
20,"X1",0.0943902513261414,0.486194742929098,-0.0990888615957935,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
20,"X2",1.0350394506799,0.966065534912221,0.154619551146339,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
20,"X3",2.01809704859771,1.43769398350355,0.386962925377134,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
20,"X4",3.1084210294327,2.05138693196417,0.112308810140205,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
20,"X5",4.05966434646881,2.63158704968403,0.437863259144304,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
21,"X1",0.0358968560656386,0.515895820400876,0.0141355789970807,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
21,"X2",0.984779747814504,0.930020327085937,0.363084610808086,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
21,"X3",2.00733853635115,1.51252155322107,0.534063161597141,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
21,"X4",2.98495090435914,1.96887425544021,0.371234835145921,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
21,"X5",3.91936437589187,2.52950485810116,0.411913603449989,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
22,"X1",-0.0280408102169008,0.50480877711042,0.102364389937283,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
22,"X2",1.01359431818506,0.97499634766529,0.1319198215768,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
22,"X3",2.09000053874928,1.50023038404592,0.148557618044579,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
22,"X4",2.92639303736798,1.95885394900361,0.369243819431554,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
22,"X5",3.8588006064051,2.51657887052024,0.736370208885929,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
23,"X1",0.0110713073297644,0.480996939415183,0.113916116821026,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
23,"X2",0.935832750855765,1.05752103623824,0.216335708839507,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
23,"X3",1.86700598189443,1.46593447131615,0.590587512669111,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
23,"X4",2.82133720434989,1.93988496347336,0.829599892220678,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
23,"X5",3.94813143143316,2.46957197605749,0.84955119022702,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
24,"X1",0.0505698501151417,0.458538419316329,0.0604857109739435,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
24,"X2",0.949806491832805,1.03340819888221,0.107869532935513,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
24,"X3",1.98588829687823,1.46412365433209,0.237330859127791,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
24,"X4",3.08092588998305,1.91124730716169,0.333111934523944,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
24,"X5",4.03181024647137,2.47010268504929,0.20651174135007,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
25,"X1",0.0508945638123402,0.511776121907334,-0.0151890932292538,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
25,"X2",0.973118711158749,0.974353515453327,0.172831469642922,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
25,"X3",2.0053820760233,1.53449393155619,0.207810340822617,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
25,"X4",3.06528651661857,1.93354326839846,0.445722989742083,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
25,"X5",3.94338644559829,2.49799386053873,0.223618194752989,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
26,"X1",-0.0679409079545609,0.566218457589295,0.262040984300962,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
26,"X2",0.95966054373102,1.04595748591618,0.120401553782039,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
26,"X3",1.94177820999525,1.47317469478182,0.319608474743905,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
26,"X4",2.94926845034349,1.97499399626828,0.408139132396008,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
26,"X5",4.15693713597008,2.5680574633951,0.3798235619451,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
27,"X1",-0.0167473937349615,0.50875131314659,-0.00696643031642565,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
